Vármegye,Település neve,Útszám,Kilométer-szelvény/utca,GPS koordináta szélesség,GPS koordináta hosszúság
Pest,Alsónémedi,,Haraszti út 6.,47.315308,19.163705
Pest,Biatorbágy,,M1 17+000,47.468751,18.864466
Pest,Budapest,,M0,47.589436,19.142904
Pest,Budapest,,M0 14+450,47.400208,19.011840
Pest,Budapest,,Váci út,47.551470,19.074230
Pest,Budapest,,Váci út,47.552850,19.074860
Pest,Budapest,,M3 bevezető 3+928,47.549011,19.121828
Pest,Budapest,,M3 bevezető 4+018,47.549789,19.122327
Pest,Budapest,,M5 2+156,47.441300,19.134219
Pest,Budapest,,M50 0+1064,47.448278,19.124030
Pest,Budapest,,M7 6+300,47.460440,18.998486
Pest,Budapest,,M7 6+284,47.460726,18.998742
Pest,Budapest,,Budaörsi út,47.466396,18.997421
Pest,Budapest,,Bocskai út,47.479624,19.039306
Pest,Budapest,,Alkotás utca 41.,47.492950,19.023873
Pest,Budapest,,Könyves Kálmán körút,47.482130,19.103164
Pest,Budapest,,Petőfi Híd Budai Hídfő,47.483661,19.060249
Pest,Budapest,,Rákóczi Híd Pesti Hídfő,47.470434,19.073295
Pest,Budapest,,M1 M7 10+800,47.452119,18.942672
Pest,Budapest,,Nagykovácsi utca 6.,47.546961,18.938960
Pest,Budapest,,Szentendrei út - Monostori út,47.573357,19.048594
Pest,Budapest,,Bécsi út - Zay utca,47.552661,19.028260
Pest,Budapest,,Szentendrei út - Raktár utca,47.545628,19.042431
Pest,Budapest,,Árpád híd - Népfürdő utca,47.535882,19.060175
Pest,Budapest,,Váci út - Lőportár utca,47.521918,19.062341
Pest,Budapest,,Bajcsy-Zsilinszky út - Alkotmány utca,47.507760,19.054819
Pest,Budapest,,Üllői út - Vágóhíd utca,47.478000,19.091586
Pest,Budapest,,Üllői út - Határ út (város felé),47.465264,19.125569
Pest,Budapest,,Rákóczi híd, budai oldal,47.469018,19.064939
Pest,Budapest,,Balatoni út - Péterhegyi lejtő,47.449346,19.006615
Pest,Budapest,,6 Növény utca,47.401844,19.014457
Pest,Budapest,,6 Gyár utca – Campona,47.407799,19.027836
Pest,Budapest,,Árpád fejedelem útja 12.,47.521128,19.037652
Pest,Budapest,,Zöldlomb utca 24.,47.529507,19.014543
Pest,Budapest,,Törökvész út 31.,47.524338,19.014153
Pest,Budapest,,Kapy utca 40/b,47.528807,19.000203
Pest,Budapest,,Hidegkúti út 128.,47.560118,18.965328
Pest,Budapest,,Máriaremetei út 132.,47.555381,18.949197
Pest,Budapest,,Nagykovácsi út 4.,47.546907,18.938872
Pest,Budapest,,Weiss Manfréd út – Szállító utca,47.442230,19.072523
Pest,Budapest 11.,,Hadriánus u. kereszteződés,47.603946,19.060307
Pest,Budapest 11.,,Kaszásdűlő,47.556678,19.046083
Pest,Budapest,,Külső Szilágyi út,47.588840,19.117830
Pest,Budapest,,Fóti út,47.575849,19.095987
Pest,Budapest,,Váci úti Megyeri Csárda és a 2/A számú út kereszteződése,47.588609,19.081975
Pest,Budapest,,Nánási út – Vitorla utca,47.569095,19.061427
Pest,Budapest,,Királyok útja 170.,47.588155,19.065058
Pest,Cegléd,,Múzeum utca 2.,47.172900,19.797520
Pest,Cegléd,,4414+049,47.145301,19.789045
Pest,Cegléd,,67+249,47.212572,19.782943
Pest,Cegléd,,Kossuth Ferenc utca 7–9.,47.173250,19.798027
Pest,Dabas,,Vörösmarty utca 47.,47.209444,19.684428
Pest,Dabas,,Inárcsi út 11.,47.224615,19.290763
Pest,Diósd,,Kőbányai út-Szabadság út,47.415645,18.950366
Pest,Diósd,,Ötvös utca-Kossuth utca,47.410198,18.951066
Pest,Diósd,,Petőfi Sándor utca-Gyár utca,47.406076,18.943579
Pest,Diósd,,Völgy utca-Homokbánya utca,47.406076,18.937458
Pest,Diósd,,Petőfi Sándor út. 38,47.406114,18.943404
Pest,Diósd,,Rákóczi u. 2.,47.409939,18.951187
Pest,Diósd,,Vadvirág u. 35.,47.414325,18.932696
Pest,Dunakeszi,,2. főút 19 ksz 170 m,47.645030,19.130160
Pest,Dunakeszi,,M217+981,47.598198,19.144881
Pest,Ecser,,M042+610,47.417170,19.315995
Pest,Göd,,M225+841,47.758714,19.357910
Pest,Iklad,,Szabadság út 3/c,47.658679,19.454482
Pest,Iklad,,Szabadság út – Ötikerházak utca,47.665254,19.432993
Pest,Maglód,,Sugár utca 32.,47.443230,19.339820
Pest,Maglód,,3128+090,47.447334,19.369419
Pest,Nagymaros,,128+520,47.826617,18.987945
Pest,Nagytétény,,M0 13+316,47.399962,18.999634
Pest,Nagytétény,,M0 14+459,47.392394,19.013187
Pest,Ócsa,,M5,47.313224,19.275918
Pest,Perbál,,102,47.585704,18.750995
Pest,Perbál,,102,47.593062,18.769011
Pest,Solymár,,1014+601,47.601766,18.957206
Pest,Szigetszentmiklós,,M0 16+550,47.379878,19.040292
Pest,Törökbálint,,Bajcsy-Zsilinszky u. 58.,47.444550,18.910560
