id;sorszám;elrejtés;rövid név;lat d; lat m;lon d; lon m;magasság;teljes név;ikon;típus;megye/ország;nehézség;terep;waypoint;description;felhasználó id;felhasználónév;email;telefonszám;utolsó megtalálás;"+";"?";"-";"!";.com;fényképek;"saját / megtalált / még nincs meg"
211607;211607;2023.03.22 19:56;"Fix traffibox";47;42,1180;17;38,7000;111;"Fix traffibox";"";"traffipax";"Gyõr-Moson-Sopron";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
211606;211606;2023.03.22 19:52;"Fix traffibox";47;15,1670;16;58,2260;176;"Fix traffibox";"";"traffipax";"Vas";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
211605;211605;2023.03.22 19:51;"Fix traffibox";47;13,7460;16;39,3500;207;"Fix traffibox";"";"traffipax";"Vas";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
211604;211604;2023.03.22 19:48;"Fix traffibox";47;37,2810;16;47,2600;124;"Fix traffibox";"";"traffipax";"Gyõr-Moson-Sopron";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
211603;211603;2023.03.22 19:46;"Fix traffibox";47;37,2430;16;45,8690;125;"Fix traffibox";"";"traffipax";"Gyõr-Moson-Sopron";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
211593;211593;2023.03.16 15:47;"Fix traffibox";46;45,4760;16;33,7230;218;"Fix traffibox";"";"traffipax";"Zala";;;"Fix traffibox";"Fix traffibox";"55085";"Kisdecso";"";"";;;;;;;0;;
210128;210128;2022.08.29 18:38;"Traffipax es kamera rendszer";47;38,1030;16;39,1420;171;"Traffipax és kamera rendszer";"";"traffipax";"Gyõr-Moson-Sopron";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"75127";"Güszi";"";"";;;;;;;0;;
201243;201243;2020.08.24 01:08;"Traffipax es kamera rendszer (Tepe fele)";47;18,0038;21;33,3528;90;"Traffipax és kamera rendszer (Tépe felé)";"";"traffipax";"Hajdú-Bihar";;;"Traffipax es kamera rendszer (Tepe fele)";"Traffipax és kamera rendszer (Tépe felé)";"16256";"FTom";"";"";;;;;;;0;;
191821;191821;2018.08.12 23:12;"Sebessegmero (nem mukodik)";46;4,2310;18;11,9800;142;"Sebességmérõ (nem mûködik)";"";"traffipax";"Baranya";;;"Sebessegmero (nem mukodik)";"Sebességmérõ (nem mûködik)";"26";"Fairy";"";"";;;;;;;0;;
185923;185923;2017.06.19 14:01;"Traffipax es kamera rendszer";46;33,9460;20;40,1390;87;"Traffipax és kamera rendszer";"";"traffipax";"Békés";;;"Traffipax es kamera rendszer";"Traffipax és kamera rendszer";"7584";"fodor8peter";"";"";;;;;;;0;;
